n,u,r,s
1,1,1,1
8,7.6487313942442166,0.9572696859794428,0.012089810017271158
16,14.083524335359346,0.883245445361951,0.00489853044086774
24,18.05444725979325,0.7566762567434513,0.0021530180699730873
32,22.857093373493974,0.7187802567381933,0.0022462896109105494
40,21.593515020879128,0.5461180042910847,0.0007737799148842093
48,24.180271323078394,0.5103374633411359,0.0007983121400467584
56,26.357157122389612,0.477024099601164,0.0007822540090517964
64,28.45992724272427,0.4516304826623935,0.0008592647149082428
